IDCJAC0001,23752,1880,12,5.3,Y,,,,,,,,,,
IDCJAC0001,23752,1881,1,65.3,Y,,,,,,,,,,
IDCJAC0001,23752,1881,2,0,Y,,,,,,,,,,
IDCJAC0001,23752,1881,3,3.3,Y,,,,,,,,,,
IDCJAC0001,23752,1881,4,38.6,Y,,,,,,,,,,
IDCJAC0001,23752,1881,5,97,Y,,,,,,,,,,
IDCJAC0001,23752,1881,6,152.7,Y,,,,,,,,,,
IDCJAC0001,23752,1881,7,52.1,Y,,,,,,,,,,
IDCJAC0001,23752,1881,8,91.4,Y,,,,,,,,,,
IDCJAC0001,23752,1881,9,46.7,Y,,,,,,,,,,
IDCJAC0001,23752,1881,10,46.2,Y,,,,,,,,,,
IDCJAC0001,23752,1881,11,13.5,Y,,,,,,,,,,
IDCJAC0001,23752,1881,12,2,Y,,,,,,,,,,
IDCJAC0001,23752,1882,1,2,Y,,,,,,,,,,
IDCJAC0001,23752,1882,2,0,Y,,,,,,,,,,
IDCJAC0001,23752,1882,3,9.9,Y,,,,,,,,,,
IDCJAC0001,23752,1882,4,71.6,Y,,,,,,,,,,
IDCJAC0001,23752,1882,5,72.1,Y,,,,,,,,,,
IDCJAC0001,23752,1882,6,60.5,Y,,,,,,,,,,
IDCJAC0001,23752,1882,7,110.5,Y,,,,,,,,,,
IDCJAC0001,23752,1882,8,104.1,Y,,,,,,,,,,
IDCJAC0001,23752,1882,9,39.4,Y,,,,,,,,,,
IDCJAC0001,23752,1882,10,51.8,Y,,,,,,,,,,
IDCJAC0001,23752,1882,11,47.5,Y,,,,,,,,,,
IDCJAC0001,23752,1882,12,11.9,Y,,,,,,,,,,
IDCJAC0001,23752,1883,1,0.8,Y,,,,,,,,,,
IDCJAC0001,23752,1883,2,10.9,Y,,,,,,,,,,
IDCJAC0001,23752,1883,3,19.1,Y,,,,,,,,,,
IDCJAC0001,23752,1883,4,38.4,Y,,,,,,,,,,
IDCJAC0001,23752,1883,5,156.7,Y,,,,,,,,,,
IDCJAC0001,23752,1883,6,119.9,Y,,,,,,,,,,
IDCJAC0001,23752,1883,7,136.1,Y,,,,,,,,,,
IDCJAC0001,23752,1883,8,110.7,Y,,,,,,,,,,
IDCJAC0001,23752,1883,9,79.5,Y,,,,,,,,,,
IDCJAC0001,23752,1883,10,54.6,Y,,,,,,,,,,
IDCJAC0001,23752,1883,11,54.4,Y,,,,,,,,,,
IDCJAC0001,23752,1883,12,32.5,Y,,,,,,,,,,
IDCJAC0001,23752,1884,1,57.1,Y,,,,,,,,,,
IDCJAC0001,23752,1884,2,2.8,Y,,,,,,,,,,
IDCJAC0001,23752,1884,3,59.6,Y,,,,,,,,,,
IDCJAC0001,23752,1884,4,58.7,Y,,,,,,,,,,
IDCJAC0001,23752,1884,5,113.5,Y,,,,,,,,,,
IDCJAC0001,23752,1884,6,145,Y,,,,,,,,,,
IDCJAC0001,23752,1884,7,15.3,Y,,,,,,,,,,
IDCJAC0001,23752,1884,8,99.4,Y,,,,,,,,,,
IDCJAC0001,23752,1884,9,113.3,Y,,,,,,,,,,
IDCJAC0001,23752,1884,10,76,Y,,,,,,,,,,
IDCJAC0001,23752,1884,11,15.5,Y,,,,,,,,,,
IDCJAC0001,23752,1884,12,35.1,Y,,,,,,,,,,
IDCJAC0001,23752,1885,1,9.2,Y,,,,,,,,,,
IDCJAC0001,23752,1885,2,32.3,Y,,,,,,,,,,
IDCJAC0001,23752,1885,3,17.2,Y,,,,,,,,,,
IDCJAC0001,23752,1885,4,20.8,Y,,,,,,,,,,
IDCJAC0001,23752,1885,5,66.3,Y,,,,,,,,,,
IDCJAC0001,23752,1885,6,165,Y,,,,,,,,,,
IDCJAC0001,23752,1885,7,92.7,Y,,,,,,,,,,
IDCJAC0001,23752,1885,8,104.7,Y,,,,,,,,,,
IDCJAC0001,23752,1885,9,76.4,Y,,,,,,,,,,
IDCJAC0001,23752,1885,10,49.1,Y,,,,,,,,,,
IDCJAC0001,23752,1885,11,11.2,Y,,,,,,,,,,
IDCJAC0001,23752,1885,12,10.1,Y,,,,,,,,,,
